accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,balanced_accuracy,sensitivity,specificity,tn,fp,fn,tp,pathogen,model
0.946236559139785,1.0,0.75,0.8571428571428571,0.9726027397260274,0.9360243741765482,0.8378084965689216,0.875,0.75,1.0,73,0,5,15,ecoli,random_forest
0.956989247311828,0.9444444444444444,0.85,0.8947368421052632,0.9712328767123286,0.9499970293416173,0.8697057708523506,0.9181506849315069,0.85,0.9863013698630136,72,1,3,17,ecoli,xgboost
0.956989247311828,1.0,0.8,0.8888888888888888,0.9650684931506849,0.948313492063492,0.8708855024867268,0.9,0.8,1.0,73,0,4,16,ecoli,adaboost
0.946236559139785,1.0,0.75,0.8571428571428571,0.9602739726027397,0.9453269042170643,0.8378084965689216,0.875,0.75,1.0,73,0,5,15,ecoli,gradient_boosting
0.7849462365591398,0.0,0.0,0.0,0.9527397260273972,0.9520028011204482,0.0,0.5,0.0,1.0,73,0,20,0,ecoli,svm
0.9375,0.9473684210526315,0.782608695652174,0.8571428571428571,0.9970220369267421,0.990163381042398,0.8237183315097127,0.8844550327575937,0.782608695652174,0.9863013698630136,72,1,5,18,klebsiella,random_forest
0.9583333333333334,0.88,0.9565217391304348,0.9166666666666666,0.9940440738534843,0.9807440375393812,0.8903265833727466,0.957712924359738,0.9565217391304348,0.958904109589041,70,3,1,22,klebsiella,adaboost
0.9479166666666666,0.9090909090909091,0.8695652173913043,0.8888888888888888,0.9922572960095295,0.9782819304633398,0.8552574405028988,0.9210839785586659,0.8695652173913043,0.9726027397260274,71,2,3,20,klebsiella,xgboost
0.7604166666666666,0.0,0.0,0.0,0.984514592019059,0.9577157243976466,0.0,0.5,0.0,1.0,73,0,23,0,klebsiella,svm
0.9479166666666666,0.9090909090909091,0.8695652173913043,0.8888888888888888,0.9767718880285885,0.9302915160523855,0.8552574405028988,0.9210839785586659,0.8695652173913043,0.9726027397260274,71,2,3,20,klebsiella,gradient_boosting
0.9782608695652174,1.0,0.8947368421052632,0.9444444444444444,1.0,1.0,0.9332080116364497,0.9473684210526316,0.8947368421052632,1.0,73,0,2,17,pseudomonas,random_forest
0.7934782608695652,0.0,0.0,0.0,0.9978370583994233,0.9928229665071768,0.0,0.5,0.0,1.0,73,0,19,0,pseudomonas,svm
0.9782608695652174,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9963950973323721,0.9890350877192982,0.9336697909156453,0.9668348954578225,0.9473684210526315,0.9863013698630136,72,1,1,18,pseudomonas,gradient_boosting
0.967391304347826,0.9,0.9473684210526315,0.9230769230769231,0.9956741167988464,0.9873684210526315,0.9028824217292948,0.9599855803893295,0.9473684210526315,0.9726027397260274,71,2,1,18,pseudomonas,xgboost
0.9565217391304348,0.8571428571428571,0.9473684210526315,0.9,0.9935111751982697,0.9801358998034898,0.8740941736588039,0.9531362653208363,0.9473684210526315,0.958904109589041,70,3,1,18,pseudomonas,adaboost
