Model,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1-Score,ROC-AUC,PR-AUC,MCC,TN,FP,FN,TP,Confusion Matrix
RandomForest,0.9375,0.8844550327575937,0.9473684210526315,0.782608695652174,0.9863013698630136,0.8571428571428571,0.9952352590827873,0.9852430178517133,0.8237183315097127,72,1,5,18,"[[72, 1], [5, 18]]"
GradientBoosting,0.9479166666666666,0.9210839785586659,0.9090909090909091,0.8695652173913043,0.9726027397260274,0.8888888888888888,0.9767718880285885,0.9302915160523855,0.8552574405028988,71,2,3,20,"[[71, 2], [3, 20]]"
AdaBoost,0.9583333333333334,0.957712924359738,0.88,0.9565217391304348,0.958904109589041,0.9166666666666666,0.9940440738534843,0.9807440375393812,0.8903265833727466,70,3,1,22,"[[70, 3], [1, 22]]"
SVM,0.7604166666666666,0.5,0.0,0.0,1.0,0.0,0.984514592019059,0.9577157243976466,0.0,73,0,23,0,"[[73, 0], [23, 0]]"
XGBoost,0.9479166666666666,0.9210839785586659,0.9090909090909091,0.8695652173913043,0.9726027397260274,0.8888888888888888,0.9922572960095295,0.9782819304633398,0.8552574405028988,71,2,3,20,"[[71, 2], [3, 20]]"
random_forest_best,0.9479166666666666,0.9061941631923764,0.95,0.8260869565217391,0.9863013698630136,0.8837209302325582,0.995830851697439,0.9876217390395083,0.8538217786689888,72,1,4,19,"[[72, 1], [4, 19]]"
